OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRang,PUIAgeMedi,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRe,PUIFLResOu,PUIContNo,PUIContUnk,PUITravelN,PUITravelY,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,16953,228,251,2234,3212,2413,2373,2678,1966,940,591,67,0 to 119,45,9702,7103,148,16661,292,0,348,16136,856,77,2173,14774,6,0,16655,2054,77,31,11,1092,1033,6,2131,17,50,726,517,234,233,184,136,47,27,2,0 to 103,29,717,474,296,644,314,1112,705,192,7,103,5,0,12,2173,1057,1110,2131,42,0,49359,249,51794,49608,2173,55,1677,0,1732,3.18,53526,2228,16451,18685,7.1,4.2,13.1,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,decreased by,18.9,21.7,13.5,8.1,%,%,%,%,75,10,12,199,108,10,5,0.6,2098,12,75,0,99,5,1,0,9
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,1049,34,22,125,157,151,168,169,113,76,32,2,0 to 99,47,567,428,54,989,60,0,69,866,206,5,175,867,0,7,982,117,58,0,0,78,93,4,175,2,6,28,27,29,25,27,13,15,3,0,1 to 97,43,117,33,6,19,3,143,29,29,0,20,0,0,4,175,93,78,175,0,0,2926,59,3160,2985,175,0,50,0,50,0,3210,175,917,1099,4,5.5,16.7,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,increased by,decreased by,4,37.5,20.8,65.6, cases,%,%,%,1,3,4,29,20,17,12,2.3,162,4,13,0,12,2,1,0,10
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,4334,52,59,411,637,627,707,754,518,318,195,56,0 to 119,50,2409,1870,55,4274,60,0,250,3680,878,89,1323,3009,0,2,4272,1162,119,39,2,689,588,4,1281,18,28,229,290,232,214,161,93,42,14,1,0 to 95,38,739,152,62,328,161,734,386,152,7,52,2,3,8,1322,614,704,1281,41,0,11256,22,12626,11278,1322,17,907,0,924,1.84,13550,1339,3916,5258,2.9,9.9,30.9,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,8.1,1.7,56.2,0.7,%,%,%,%,30,0,11,159,54,13,5,0.8,1193,8,129,0,75,2,1,0,20
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1567,23,32,138,202,186,234,300,192,151,103,6,0 to 118,53,983,561,23,1565,2,0,51,1396,231,2,144,1422,0,1,1564,88,56,0,0,91,53,0,144,1,7,20,17,25,23,13,9,17,12,0,1 to 107,46,97,39,4,4,6,134,4,23,0,15,0,0,2,144,53,91,144,0,0,3037,2,3186,3039,144,7,68,0,75,9.33,3261,151,1490,1642,6.1,4.6,9.6,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,did not change,increased by,increased by,14.3,,225,46.9,%,,%,%,3,2,2,23,15,16,11,1.4,133,2,11,0,11,0,0,0,4
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,22378,286,423,1700,2479,2523,3124,4751,4134,2190,619,149,0 to 119,56,12557,9717,104,22355,23,0,749,20585,2411,124,3510,18863,0,5,22350,3416,77,14,3,1793,1690,10,3493,38,90,725,724,529,495,436,252,127,92,2,0 to 101,37,1812,245,244,1192,512,1732,1249,412,4,207,3,0,29,3510,1697,1803,3493,17,0,57477,6,61065,57483,3510,92,3833,1,3926,2.34,64991,3602,22696,26304,4.6,5.5,16.1,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,decreased by,decreased by,39.4,18.2,3.5,1,%,%,%,%,98,4,29,416,210,12,6,0.8,3369,29,141,0,200,20,4,0,3
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,120987,2472,3372,10351,19015,18989,20609,21071,13919,7286,3692,211,0 to 119,48,65164,54287,1536,119349,1638,0,4746,99150,22263,1134,31485,89433,20,49,119283,29303,1802,352,27,15839,15113,153,31105,593,1318,4567,6469,5572,5087,4171,2073,1083,535,16,0 to 119,39,12119,8557,2166,8263,10215,12851,8039,4822,79,2550,62,23,464,31484,15359,15972,31105,379,0,244222,1237,277166,245459,31484,1462,32983,7,34452,4.24,311618,32946,122416,155439,8.1,10.6,27.2,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,12.3,0.5,34.4,3.7,%,%,%,%,455,169,487,4901,2612,16,9,1.5,30025,464,1459,0,2610,234,31,0,222
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,656,8,9,55,70,94,94,119,94,74,39,0,0 to 99,54,390,253,13,656,0,0,13,466,138,7,162,493,0,1,655,146,16,0,0,102,60,0,162,1,3,18,21,15,17,25,18,23,21,0,1 to 99,56,123,18,8,13,10,130,22,21,0,14,0,0,7,162,60,102,162,0,0,1129,0,1297,1129,162,0,26,0,26,0,1323,162,519,682,4.7,12.2,24.7,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,did not change,increased by,increased by,200,,250,39.6,%,,%,%,19,6,7,21,14,13,9,4.3,174,7,-12,0,7,0,0,0,6
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,6089,69,60,331,528,598,854,1159,1133,779,569,9,0 to 119,60,3532,2486,71,6068,21,0,312,5209,905,30,1158,4922,1,8,6059,976,177,4,1,614,523,16,1153,12,16,109,127,109,157,205,166,127,127,3,0 to 101,57,822,76,34,221,77,824,252,153,1,170,1,0,79,1158,524,617,1153,5,0,15153,16,16339,15169,1158,58,1907,0,1965,2.95,18304,1216,6829,8054,4.6,6.6,20,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,decreased by,decreased by,109.1,22,11.7,50.5,%,%,%,%,123,50,79,154,171,14,15,6.8,1117,79,41,0,40,2,0,0,4
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,4586,57,92,286,464,429,560,843,980,660,207,8,0 to 222,60,2564,1851,171,4578,8,0,138,3710,589,35,578,4002,1,5,4573,390,186,1,0,290,284,2,576,7,16,76,82,70,85,119,68,36,18,0,0 to 97,49,424,36,41,75,41,443,92,53,0,62,0,0,15,577,284,291,576,1,0,12188,6,12779,12194,577,29,1044,0,1073,2.7,13852,606,5046,5659,4,4.4,13.2,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,decreased by,increased by,decreased by,30.6,14.3,56.6,13.2,%,%,%,%,8,1,15,53,62,10,11,2.6,546,14,31,1,34,1,0,0,9
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,9438,164,257,825,1167,1338,1554,1612,1390,788,320,23,0 to 101,51,5391,3926,121,9416,22,0,322,8347,975,70,1557,7870,1,10,9405,1463,90,4,0,842,705,6,1553,14,48,221,264,243,267,212,156,82,48,2,0 to 100,44,683,271,121,478,134,890,529,232,0,134,0,0,36,1557,707,844,1553,4,0,21454,18,23040,21472,1557,48,1332,0,1380,3.48,24420,1605,9202,10818,5.2,6.6,17,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,26,29.6,53.6,0.9,%,%,%,%,75,24,36,232,134,15,9,2.3,1508,36,49,0,83,7,1,0,4
