OBJECTID_1,DEPCODE,FIPS,COUNTYNAME,County_1,County2,County3,State,CountyPopulation,NumPeopleTested,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRang,PUIAgeMedi,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRe,PUIFLResOu,PUIContNo,PUIContUnk,PUITravelN,PUITravelY,TPositive,TNegative,TInconc,TPending,T_Total_Re,T_LabPriva,T_LabDOH_R,T_LabPri_1,T_LabDOH_N,C_Female,C_Male,C_SexUnkn,C_AllResTy,C_Age_0_4,C_Age_5_14,C_Age_15_2,C_Age_25_3,C_Age_35_4,C_Age_45_5,C_Age_55_6,C_Age_65_7,C_Age_75_8,C_Age_85pl,C_Age_Unkn,C_AgeRange,C_AgeMedia,C_RaceWhit,C_RaceBlac,C_RaceOthe,C_RaceUnkn,C_Hispanic,C_Hispan_1,C_Hispan_2,C_EDYes_Re,C_EDYes_No,C_HospYesRES,C_HospYesNONRES,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFL,T_total,T_negative,T_positive,Anitbody_Positive,Antibody_Negative,Antibody_Inconclusive,Antibody_tested,Antibody_PctPos,Tests_AllSources,Postive_AllSources,Negative_Allsources,TestedPeople_AllSources,Percent_PopTest,Percent_PosTests,Percent_PositivePeople,Start,End,M_ILI,M_COVID,M_PosTests,M_PctPos,D_ILI,D_COVID,D_PosTests,D_PctPos,P_ILI,P_COVID,P_PosTests,P_PctPos,Text_ILI,Text_COVID,Text_PosTests,Text_PctPos,C_LTCF_Cases,C_LTCF_Deaths,ALL_DEATHS,ALL_ER,ALL_HOSPITAL,Perc_ER,Perc_Hosp,Perc_Died,Cases_Yesterday,Deaths_Yesterday,C_deltaCases,C_DeltaDeaths,C_Pediatric_Cases,C_Pedia_ER,C_Pedia_Hosp,C_PrisonDeaths,C_Delta2,C_Trend1,C_Trend2
66,1,1,ALACHUA,Alachua,Alachua,Alachua County,FL,263148,17163,232,263,2277,3265,2445,2401,2699,1974,946,594,67,0 to 119,45,9818,7200,145,16875,288,0,444,16151,1031,78,2397,14760,6,0,16869,2279,79,28,11,1220,1134,4,2358,21,62,772,571,267,265,208,144,55,30,2,0 to 103,29,828,549,334,647,357,1288,713,201,8,108,7,0,12,2397,1157,1236,2358,39,0,51351,247,54012,51598,2397,55,1677,0,1732,3.18,55744,2452,16437,18895,7.2,4.4,14.3,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,increased by,decreased by,18.9,21.7,13.5,8.1,%,%,%,%,76,10,12,209,115,9,5,0.5,2322,12,75,0,119,7,1,0,20,3,0
17,2,3,BAKER,Baker,Baker,Baker County,FL,27785,1080,35,23,130,164,158,173,173,113,76,33,2,0 to 99,46,590,440,50,1020,60,0,82,862,230,5,202,870,0,8,1012,137,65,0,0,98,102,2,202,2,7,31,33,35,31,31,13,15,4,0,1 to 97,43,135,40,8,19,5,169,28,31,0,22,0,0,4,202,102,98,202,0,0,3056,58,3316,3114,202,0,50,0,50,0,3366,202,920,1130,4.1,6,18.7,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,increased by,decreased by,4,37.5,20.8,65.6, cases,%,%,%,1,3,4,31,22,16,11,2,187,4,15,0,13,2,1,0,11,0,0
15,3,5,BAY,Bay,Bay,Bay County,FL,182482,4614,55,64,462,689,672,759,795,541,326,195,56,0 to 119,49,2565,1996,53,4551,63,0,297,3853,1032,97,1602,3010,0,2,4549,1440,118,42,2,844,711,3,1558,22,32,281,342,278,263,202,115,50,16,1,0 to 96,39,871,185,69,433,172,914,472,165,8,56,3,3,8,1602,739,860,1558,44,0,11915,22,13563,11937,1602,17,907,0,924,1.84,14487,1619,3917,5538,3,11.2,35.1,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,8.1,1.7,56.2,0.7,%,%,%,%,26,0,11,173,59,11,4,0.7,1523,8,79,0,86,2,1,0,31,8,4
40,4,7,BRADFORD,Bradford,Bradford,Bradford County,FL,26979,1594,24,34,145,204,188,238,303,196,153,103,6,0 to 118,53,995,576,23,1592,2,0,59,1399,252,2,173,1420,0,1,1591,108,65,0,0,103,70,0,173,2,9,27,20,27,29,16,12,19,12,0,1 to 107,46,115,44,7,7,6,155,12,26,0,19,0,0,2,173,70,103,173,0,0,3194,2,3372,3196,173,7,68,0,75,9.33,3447,180,1488,1669,6.2,5.2,11.3,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,did not change,increased by,increased by,14.3,,225,46.9,%,,%,%,4,2,2,26,19,16,11,1.2,161,2,12,0,16,0,0,0,6,0,0
42,5,9,BREVARD,Brevard,Brevard,Brevard County,FL,576808,22685,292,425,1744,2523,2559,3172,4798,4170,2220,634,148,0 to 119,56,12728,9847,110,22661,24,0,894,20591,2813,126,3805,18869,0,11,22650,3702,84,15,3,1957,1814,15,3786,42,92,771,767,563,541,479,284,154,110,1,0 to 101,38,2007,287,284,1208,558,1943,1285,487,4,247,3,0,44,3804,1821,1968,3786,18,0,59957,6,63806,59963,3804,92,3833,1,3926,2.34,67732,3896,22702,26611,4.6,5.8,17.2,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,increased by,decreased by,decreased by,39.4,18.2,3.5,1,%,%,%,%,149,4,44,491,250,13,7,1.2,3722,40,82,4,214,22,4,0,3,-6,18
62,6,11,BROWARD,Broward,Broward,Broward County,FL,1909151,125443,2727,3688,10975,19864,19748,21294,21600,14189,7410,3734,214,0 to 119,47,67457,56437,1549,123791,1652,0,5092,101783,23799,1146,35567,89776,22,78,123694,33292,1879,367,28,17923,17069,179,35171,701,1547,5158,7294,6279,5758,4684,2325,1215,586,19,0 to 119,39,13160,9443,2433,10135,11383,14107,9681,5081,81,2643,64,23,464,35566,17324,18062,35171,395,0,259553,1235,296644,260788,35566,1462,32983,7,34452,4.24,331096,37028,122759,159895,8.4,11.2,29.5,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,increased by,increased by,increased by,12.3,0.5,34.4,3.7,%,%,%,%,475,169,487,5162,2707,15,8,1.4,34153,464,1413,0,3091,256,32,0,238,40,38
5,7,13,CALHOUN,Calhoun,Calhoun,Calhoun County,FL,14444,696,7,13,59,73,98,101,125,100,78,42,0,0 to 99,54,413,268,15,696,0,0,18,476,165,9,198,497,0,1,695,182,16,0,0,125,73,0,198,1,5,21,25,18,24,30,23,27,24,0,1 to 99,56,150,24,10,14,12,155,31,28,0,20,0,0,7,198,73,125,198,0,0,1201,0,1406,1201,198,0,26,0,26,0,1432,198,523,722,5,13.8,28.4,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,did not change,increased by,increased by,200,,250,39.6,%,,%,%,17,6,7,28,20,15,11,3.5,184,7,14,0,9,0,0,0,6,0,0
56,8,15,CHARLOTTE,Charlotte,Charlotte,Charlotte County,FL,176954,6260,70,64,355,550,620,879,1194,1162,789,570,7,0 to 119,59,3624,2563,73,6238,22,0,366,5262,1001,31,1313,4942,1,4,6233,1123,184,5,1,690,598,19,1307,12,20,133,149,130,181,235,189,135,128,1,0 to 101,56,937,84,46,240,87,944,276,169,1,184,1,0,80,1313,599,694,1307,6,0,16760,16,18099,16776,1313,58,1907,0,1965,2.95,20064,1371,6849,8225,4.6,6.8,21.9,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,increased by,decreased by,decreased by,decreased by,109.1,22,11.7,50.5,%,%,%,%,126,50,80,170,185,13,15,6.1,1281,80,32,0,49,2,0,0,4,-5,3
32,9,17,CITRUS,Citrus,Citrus,Citrus County,FL,143087,4777,66,94,313,493,448,590,878,1002,677,208,8,0 to 222,59,2680,1928,169,4769,8,0,175,3753,688,36,702,4068,1,6,4763,457,244,1,0,352,346,3,701,7,18,94,101,81,105,138,86,53,19,0,0 to 97,50,524,42,43,92,45,537,119,59,0,75,0,0,17,702,346,353,701,1,0,12733,6,13449,12739,702,29,1044,0,1073,2.7,14522,731,5112,5850,4.1,5,15.3,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,YES,increased by,decreased by,increased by,decreased by,30.6,14.3,56.6,13.2,%,%,%,%,10,1,17,59,75,9,11,2.4,665,17,37,0,39,1,0,0,12,5,4
22,10,19,CLAY,Clay,Clay,Clay County,FL,207291,9717,184,270,889,1207,1383,1594,1645,1403,798,322,22,0 to 101,50,5549,4052,116,9694,23,0,411,8362,1191,77,1791,7916,1,9,9684,1689,97,5,0,970,811,5,1786,14,59,280,301,284,302,242,167,92,49,1,0 to 100,43,808,314,130,534,164,1030,592,260,0,141,0,0,42,1791,814,972,1786,5,0,22985,18,24806,23003,1791,48,1332,0,1380,3.48,26186,1839,9248,11097,5.4,7,18.9,7/5/2020 5:00,7/11/2020 5:00,NO,NO,NO,NO,decreased by,decreased by,increased by,decreased by,26,29.6,53.6,0.9,%,%,%,%,65,24,42,260,141,15,8,2.3,1641,42,150,0,108,10,1,0,5,4,8
